"SequenceName","OriginalName","segNumber","accn","isName","subtype","host","birdOrder","wildDomestic","bird","continent","country","place","dateTxt","decDate"
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/56/2005|2005.45205479452","H5N1_Avian_HM172402_A/duck/Anhui/56/2005_China_2005//_2 (PB1)",2,"HM172402","A/duck/Anhui/56/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/1/06|2006.45205479452","H5N1_Avian_HM172401_A/duck/Anhui/1/06_China_2006//_2 (PB1)",2,"HM172401","A/duck/Anhui/1/06","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Cambodia_A/duck/Cambodia/D14AL/2006|2006.09315068493","H5N1_Avian_HQ200456_A/duck/Cambodia/D14AL/2006_Cambodia_2006/02/04_2 (PB1)",2,"HQ200456","A/duck/Cambodia/D14AL/2006","H5N1","Avian","ans","Domestic","duck","Asia","Cambodia","Cambodia","2006/02/04",2006.09315068493
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/China/E319-2/03|2003.45205479452","H5N1_Avian_AY518366_A/duck/China/E319-2/03_China_2003//_2 (PB1)",2,"AY518366","A/duck/China/E319-2/03","H5N1","Avian","ans","Domestic","duck","Asia","China","China","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Africa_Cote dIvoire_A/duck/Cote d'Ivoire/1787-18/2006|2006.45205479452","H5N1_Avian_CY016809_A/duck/Cote d'Ivoire/1787-18/2006_Cote dIvoire_2006//_2 (PB1)",2,"CY016809","A/duck/Cote d'Ivoire/1787-18/2006","H5N1","Avian","ans","Domestic","duck","Africa","Cote dIvoire","Cote d'Ivoire","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/108/2008|2008.95342465753","H5N1_Avian_GU727667_A/duck/Eastern China/108/2008_China_2008/12/15_2 (PB1)",2,"GU727667","A/duck/Eastern China/108/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2008/12/15",2008.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/909/2009|2009.03835616438","H5N1_Avian_GU727675_A/duck/Eastern China/909/2009_China_2009/01/15_2 (PB1)",2,"GU727675","A/duck/Eastern China/909/2009","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2009/01/15",2009.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/2253-3/2006|2006.45205479452","H5N1_Avian_CY016905_A/duck/Egypt/2253-3/2006_Egypt_2006//_2 (PB1)",2,"CY016905","A/duck/Egypt/2253-3/2006","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/D2br10/2007|2007.03835616438","H5N1_Avian_AB468063_A/duck/Egypt/D2br10/2007_Egypt_2007/01/_2 (PB1)",2,"AB468063","A/duck/Egypt/D2br10/2007","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2007/01/",2007.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/0871/2008|2008.13698630137","H5N1_Avian_CY044046_A/duck/Egypt/0871/2008_Egypt_2008/02/20_2 (PB1)",2,"CY044046","A/duck/Egypt/0871/2008","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2008/02/20",2008.13698630137
