"SequenceName","OriginalName","segNumber","accn","isName","subtype","host","birdOrder","wildDomestic","bird","continent","country","place","dateTxt","decDate"
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/56/2005|2005.45205479452","H5N1_Avian_HM172107_A/duck/Anhui/56/2005_China_2005//_4 (HA)",4,"HM172107","A/duck/Anhui/56/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/1/06|2006.45205479452","H5N1_Avian_HM172115_A/duck/Anhui/1/06_China_2006//_4 (HA)",4,"HM172115","A/duck/Anhui/1/06","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Cambodia_A/duck/Cambodia/D14AL/2006|2006.09315068493","H5N1_Avian_HQ200450_A/duck/Cambodia/D14AL/2006_Cambodia_2006/02/04_4 (HA)",4,"HQ200450","A/duck/Cambodia/D14AL/2006","H5N1","Avian","ans","Domestic","duck","Asia","Cambodia","Cambodia","2006/02/04",2006.09315068493
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/China/E319-2/03|2003.45205479452","H5N1_Avian_AY518362_A/duck/China/E319-2/03_China_2003//_4 (HA)",4,"AY518362","A/duck/China/E319-2/03","H5N1","Avian","ans","Domestic","duck","Asia","China","China","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Africa_Cote dIvoire_A/duck/Cote d'Ivoire/1787-18/2006|2006.45205479452","H5N1_Avian_CY016803_A/duck/Cote d'Ivoire/1787-18/2006_Cote dIvoire_2006//_4 (HA)",4,"CY016803","A/duck/Cote d'Ivoire/1787-18/2006","H5N1","Avian","ans","Domestic","duck","Africa","Cote dIvoire","Cote d'Ivoire","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/108/2008|2008.95342465753","H5N1_Avian_GU727669_A/duck/Eastern China/108/2008_China_2008/12/15_4 (HA)",4,"GU727669","A/duck/Eastern China/108/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2008/12/15",2008.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/909/2009|2009.03835616438","H5N1_Avian_GU727677_A/duck/Eastern China/909/2009_China_2009/01/15_4 (HA)",4,"GU727677","A/duck/Eastern China/909/2009","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2009/01/15",2009.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/2253-3/2006|2006.45205479452","H5N1_Avian_CY016899_A/duck/Egypt/2253-3/2006_Egypt_2006//_4 (HA)",4,"CY016899","A/duck/Egypt/2253-3/2006","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/D2br10/2007|2007.03835616438","H5N1_Avian_AB465593_A/duck/Egypt/D2br10/2007_Egypt_2007/01/_4 (HA)",4,"AB465593","A/duck/Egypt/D2br10/2007","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2007/01/",2007.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/0871/2008|2008.13698630137","H5N1_Avian_CY044040_A/duck/Egypt/0871/2008_Egypt_2008/02/20_4 (HA)",4,"CY044040","A/duck/Egypt/0871/2008","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2008/02/20",2008.13698630137
