"SequenceName","OriginalName","segNumber","accn","isName","subtype","host","birdOrder","wildDomestic","bird","continent","country","place","dateTxt","decDate"
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/56/2005|2005.45205479452","H5N1_Avian_HM172322_A/duck/Anhui/56/2005_China_2005//_3 (PA)",3,"HM172322","A/duck/Anhui/56/2005","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Anhui/1/06|2006.45205479452","H5N1_Avian_HM172356_A/duck/Anhui/1/06_China_2006//_3 (PA)",3,"HM172356","A/duck/Anhui/1/06","H5N1","Avian","ans","Domestic","duck","Asia","China","Anhui","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_Cambodia_A/duck/Cambodia/D14AL/2006|2006.09315068493","H5N1_Avian_HQ200455_A/duck/Cambodia/D14AL/2006_Cambodia_2006/02/04_3 (PA)",3,"HQ200455","A/duck/Cambodia/D14AL/2006","H5N1","Avian","ans","Domestic","duck","Asia","Cambodia","Cambodia","2006/02/04",2006.09315068493
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/China/E319-2/03|2003.45205479452","H5N1_Avian_AY518365_A/duck/China/E319-2/03_China_2003//_3 (PA)",3,"AY518365","A/duck/China/E319-2/03","H5N1","Avian","ans","Domestic","duck","Asia","China","China","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Africa_Cote dIvoire_A/duck/Cote d'Ivoire/1787-18/2006|2006.45205479452","H5N1_Avian_CY016808_A/duck/Cote d'Ivoire/1787-18/2006_Cote dIvoire_2006//_3 (PA)",3,"CY016808","A/duck/Cote d'Ivoire/1787-18/2006","H5N1","Avian","ans","Domestic","duck","Africa","Cote dIvoire","Cote d'Ivoire","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/108/2008|2008.95342465753","H5N1_Avian_GU727668_A/duck/Eastern China/108/2008_China_2008/12/15_3 (PA)",3,"GU727668","A/duck/Eastern China/108/2008","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2008/12/15",2008.95342465753
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Eastern China/909/2009|2009.03835616438","H5N1_Avian_GU727676_A/duck/Eastern China/909/2009_China_2009/01/15_3 (PA)",3,"GU727676","A/duck/Eastern China/909/2009","H5N1","Avian","ans","Domestic","duck","Asia","China","Eastern China","2009/01/15",2009.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/2253-3/2006|2006.45205479452","H5N1_Avian_CY016904_A/duck/Egypt/2253-3/2006_Egypt_2006//_3 (PA)",3,"CY016904","A/duck/Egypt/2253-3/2006","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2006//",2006.45205479452
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/D2br10/2007|2007.03835616438","H5N1_Avian_AB468064_A/duck/Egypt/D2br10/2007_Egypt_2007/01/_3 (PA)",3,"AB468064","A/duck/Egypt/D2br10/2007","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2007/01/",2007.03835616438
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/Egypt/0871/2008|2008.13698630137","H5N1_Avian_CY044045_A/duck/Egypt/0871/2008_Egypt_2008/02/20_3 (PA)",3,"CY044045","A/duck/Egypt/0871/2008","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","Egypt","2008/02/20",2008.13698630137
"H5N1_Avian_ans_Domestic_Africa_Egypt_A/duck/El Fayoum/CAI1/2010|2010.16164383562","H5N1_Avian_CY126101_A/duck/El Fayoum/CAI1/2010_Egypt_2010/03/01_3 (PA)",3,"CY126101","A/duck/El Fayoum/CAI1/2010","H5N1","Avian","ans","Domestic","duck","Africa","Egypt","El Fayoum","2010/03/01",2010.16164383562
"H5N1_Avian_ans_Domestic_Europe_France_A/duck/France/05066b/2005|2005.45205479452","H5N1_Avian_CY046136_A/duck/France/05066b/2005_France_2005//_3 (PA)",3,"CY046136","A/duck/France/05066b/2005","H5N1","Avian","ans","Domestic","duck","Europe","France","France","2005//",2005.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Fujian/bb/2003|2003.45205479452","H5N1_Avian_DQ997401_A/goose/Fujian/bb/2003_China_2003//_3 (PA)",3,"DQ997401","A/goose/Fujian/bb/2003","H5N1","Avian","ans","Domestic","goose","Asia","China","Fujian","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Europe_Germany_A/domestic duck/Germany/R1779/2007|2007.45205479452","H5N1_Avian_FM174401_A/domestic duck/Germany/R1779/2007_Germany_2007//_3 (PA)",3,"FM174401","A/domestic duck/Germany/R1779/2007","H5N1","Avian","ans","Domestic","domestic duck","Europe","Germany","Germany","2007//",2007.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/1/1996|1996.45205479452","H5N1_Avian_AF144302_A/goose/Guangdong/1/1996_China_1996//_3 (PA)",3,"AF144302","A/goose/Guangdong/1/1996","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","1996//",1996.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/3/1997|1997.45205479452","H5N1_Avian_AF380163_A/goose/Guangdong/3/1997_China_1997//_3 (PA)",3,"AF380163","A/goose/Guangdong/3/1997","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","1997//",1997.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/goose/Guangdong/xb/2001|2001.45205479452","H5N1_Avian_DQ997526_A/goose/Guangdong/xb/2001_China_2001//_3 (PA)",3,"DQ997526","A/goose/Guangdong/xb/2001","H5N1","Avian","ans","Domestic","goose","Asia","China","Guangdong","2001//",2001.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangdong/173/04|2004.45205479452","H5N1_Avian_AY737303_A/duck/Guangdong/173/04_China_2004//_3 (PA)",3,"AY737303","A/duck/Guangdong/173/04","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangdong","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/xa/2001|2001.45205479452","H5N1_Avian_DQ997517_A/duck/Guangxi/xa/2001_China_2001//_3 (PA)",3,"DQ997517","A/duck/Guangxi/xa/2001","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2001//",2001.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/12/2003|2003.45205479452","H5N1_Avian_EU263344_A/duck/Guangxi/12/2003_China_2003//_3 (PA)",3,"EU263344","A/duck/Guangxi/12/2003","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2003//",2003.45205479452
"H5N1_Avian_ans_Domestic_Asia_China_A/duck/Guangxi/13/2004|2004.45205479452","H5N1_Avian_DQ366337_A/duck/Guangxi/13/2004_China_2004//_3 (PA)",3,"DQ366337","A/duck/Guangxi/13/2004","H5N1","Avian","ans","Domestic","duck","Asia","China","Guangxi","2004//",2004.45205479452
"H5N1_Avian_ans_Domestic_Asia_Hong Kong_A/Duck/Hong Kong/380.5/2001|2001.45205479452","H5N1_Avian_GU186689_A/Duck/Hong Kong/380.5/2001_Hong Kong_2001//_3 (PA)",3,"GU186689","A/Duck/Hong Kong/380.5/2001","H5N1","Avian","ans","Domestic","Duck","Asia","Hong Kong","Hong Kong","2001//",2001.45205479452
