"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881986"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881986"	2940	"09-JUN-2012"	"JN881986"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	2	"VP2"
"JN848760"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848760"	2940	"05-JAN-2012"	"JN848760"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	2	"VP2"
"KP821005"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821005"	2940	"16-AUG-2015"	"KP821005"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	2	"VP2"
"KP821006"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821006"	2940	"16-AUG-2015"	"KP821006"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	2	"VP2"
"KP821007"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821007"	2940	"16-AUG-2015"	"KP821007"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	2	"VP2"
"AJ585111"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"AJ585111"	2940	"02-APR-2012"	"AJ585111"	"0"	"0"	"0"	1	"India A"	"Bluetongue virus 1"	"India A"	0	"VP2 protein"
"KP820995"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP820995"	2940	"16-AUG-2015"	"KP820995"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	2	"VP2"
"KP820996"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP820996"	2929	"16-AUG-2015"	"KP820996"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	2	"VP2"
"KP820997"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP820997"	2940	"16-AUG-2015"	"KP820997"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	2	"VP2"
"KP820998"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP820998"	2940	"16-AUG-2015"	"KP820998"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	2	"VP2"
"JX861489"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861489"	2940	"14-DEC-2012"	"JX861489"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	2	"outer capsid protein VP2"
"KP820999"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP820999"	2940	"16-AUG-2015"	"KP820999"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	2	"VP2"
"KP821000"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821000"	2940	"16-AUG-2015"	"KP821000"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	2	"VP2"
"KP821001"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821001"	2940	"16-AUG-2015"	"KP821001"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	2	"VP2"
"JX861499"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861499"	2940	"14-DEC-2012"	"JX861499"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	2	"outer capsid protein VP2"
"KP821002"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821002"	2940	"16-AUG-2015"	"KP821002"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	2	"VP2"
"KP821003"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821003"	2940	"16-AUG-2015"	"KP821003"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"FRA2008/26"	"Bluetongue virus 1"	"FRA2008/26"	2	"VP2"
"KP821004"	"18|sheep/Gibraltar/2007|GIB2007/06|Oct-2007"	18	"KP821004"	2940	"16-AUG-2015"	"KP821004"	"sheep"	"Gibraltar: Gibraltar"	"Oct-2007"	1	"GIB2007/06"	"Bluetongue virus 1"	"GIB2007/06"	2	"VP2"
"KP821008"	"19|sheep/Libya/2007|LIB2007/06|Aug-2007"	19	"KP821008"	2940	"16-AUG-2015"	"KP821008"	"sheep"	"Libya: Green Mountain"	"Aug-2007"	1	"LIB2007/06"	"Bluetongue virus 1"	"LIB2007/06"	2	"VP2"
"KP821009"	"20|sheep/Morocco/2006|MOR2006/06|Oct-2006"	20	"KP821009"	2940	"16-AUG-2015"	"KP821009"	"sheep"	"Morocco: Guenfouda-Oujda"	"Oct-2006"	1	"MOR2006/06"	"Bluetongue virus 1"	"MOR2006/06"	2	"VP2"
"KP821010"	"21|sheep/Morocco/2007|MOR2007/01|Jul-2007"	21	"KP821010"	2940	"16-AUG-2015"	"KP821010"	"sheep"	"Morocco: Khouribga"	"Jul-2007"	1	"MOR2007/01"	"Bluetongue virus 1"	"MOR2007/01"	2	"VP2"
"KP821011"	"22|sheep/Morocco/2007|MOR2007/02|Jul-2007"	22	"KP821011"	2940	"16-AUG-2015"	"KP821011"	"sheep"	"Morocco: Settat"	"Jul-2007"	1	"MOR2007/02"	"Bluetongue virus 1"	"MOR2007/02"	2	"VP2"
"KP821012"	"23|sheep/Morocco/2007|MOR2007/03|Jul-2007"	23	"KP821012"	2940	"16-AUG-2015"	"KP821012"	"sheep"	"Morocco: Rabat"	"Jul-2007"	1	"MOR2007/03"	"Bluetongue virus 1"	"MOR2007/03"	2	"VP2"
"KP821013"	"24|sheep/Morocco/2007|MOR2007/04|Jul-2007"	24	"KP821013"	2940	"16-AUG-2015"	"KP821013"	"sheep"	"Morocco: Kenitra"	"Jul-2007"	1	"MOR2007/04"	"Bluetongue virus 1"	"MOR2007/04"	2	"VP2"
"KP821014"	"25|sheep/Morocco/2009|MOR2009/01|Sep-2009"	25	"KP821014"	2940	"16-AUG-2015"	"KP821014"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/01"	"Bluetongue virus 1"	"MOR2009/01"	2	"VP2"
"KP821015"	"26|sheep/Morocco/2009|MOR2009/04|Sep-2009"	26	"KP821015"	2940	"16-AUG-2015"	"KP821015"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/04"	"Bluetongue virus 1"	"MOR2009/04"	2	"VP2"
"KP821016"	"27|sheep/Morocco/2009|MOR2009/06|Sep-2009"	27	"KP821016"	2940	"16-AUG-2015"	"KP821016"	"sheep"	"Morocco: Marrakesh"	"Sep-2009"	1	"MOR2009/06"	"Bluetongue virus 1"	"MOR2009/06"	2	"VP2"
"FJ969720"	"28|0/SouthAfrica/0|South Africa|0"	28	"FJ969720"	2940	"12-AUG-2009"	"FJ969720"	"0"	"South Africa"	"0"	1	"South Africa"	"Bluetongue virus"	"South Africa"	2	"VP2"
"KP821017"	"29|sheep/SouthAfrica/1958|RSAvvvv/01|Jun-1958"	29	"KP821017"	2940	"16-AUG-2015"	"KP821017"	"sheep"	"South Africa: Natal"	"Jun-1958"	1	"RSAvvvv/01"	"Bluetongue virus 1"	"RSAvvvv/01"	2	"VP2"
"KP821018"	"30|cattle/Spain/2007|SPA2007/04|Jun-2007"	30	"KP821018"	2940	"16-AUG-2015"	"KP821018"	"cattle"	"Spain: Cordoba"	"Jun-2007"	1	"SPA2007/04"	"Bluetongue virus 1"	"SPA2007/04"	2	"VP2"
"KP821019"	"31|cattle/Spain/2007|SPA2007/05|Jun-2007"	31	"KP821019"	2940	"16-AUG-2015"	"KP821019"	"cattle"	"Spain: Pias Vasco"	"Jun-2007"	1	"SPA2007/05"	"Bluetongue virus 1"	"SPA2007/05"	2	"VP2"
"KP821020"	"32|sheep/Spain/2008|SPA2008/01|Jun-2008"	32	"KP821020"	2940	"16-AUG-2015"	"KP821020"	"sheep"	"Spain: Asturias"	"Jun-2008"	1	"SPA2008/01"	"Bluetongue virus 1"	"SPA2008/01"	2	"VP2"
"KP821021"	"33|cattle/Spain/2009|SPA2009/01|Jun-2009"	33	"KP821021"	2940	"16-AUG-2015"	"KP821021"	"cattle"	"Spain: Galicia"	"Jun-2009"	1	"SPA2009/01"	"Bluetongue virus 1"	"SPA2009/01"	2	"VP2"
