"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881993"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881993"	1052	"09-JUN-2012"	"JN881993"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	9	"0"
"JN848767"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848767"	1049	"05-JAN-2012"	"JN848767"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	9	"VP6"
"KP821850"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821850"	1052	"16-AUG-2015"	"KP821850"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"1GRE2001/01"	"Bluetongue virus 1"	"1GRE2001/01"	9	"0"
"KP821851"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821851"	1052	"16-AUG-2015"	"KP821851"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"1GRE2001/06"	"Bluetongue virus 1"	"1GRE2001/06"	9	"0"
"KP821852"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821852"	1052	"16-AUG-2015"	"KP821852"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"1GRE2001/10"	"Bluetongue virus 1"	"1GRE2001/10"	9	"0"
"JQ282776"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282776"	1052	"08-APR-2012"	"JQ282776"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	9	"unknown"
"KP821840"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821840"	1049	"16-AUG-2015"	"KP821840"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"1ALG2006/01"	"Bluetongue virus 1"	"1ALG2006/01"	9	"0"
"KP821841"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821841"	1049	"16-AUG-2015"	"KP821841"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"1ALG2006/04"	"Bluetongue virus 1"	"1ALG2006/04"	9	"0"
"KP821842"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821842"	1049	"16-AUG-2015"	"KP821842"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"1ALG2008/10"	"Bluetongue virus 1"	"1ALG2008/10"	9	"0"
"KP821843"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821843"	1049	"16-AUG-2015"	"KP821843"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"1CAR1982/01"	"Bluetongue virus 1"	"1CAR1982/01"	9	"0"
"JX861496"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861496"	1049	"14-DEC-2012"	"JX861496"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	9	"0"
"KP821844"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821844"	1049	"16-AUG-2015"	"KP821844"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"1FRA2008/21"	"Bluetongue virus 1"	"1FRA2008/21"	9	"0"
"KP821845"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821845"	1049	"16-AUG-2015"	"KP821845"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"1FRA2008/22"	"Bluetongue virus 1"	"1FRA2008/22"	9	"0"
"KP821846"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821846"	1049	"16-AUG-2015"	"KP821846"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"1FRA2008/23"	"Bluetongue virus 1"	"1FRA2008/23"	9	"0"
"JX861506"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861506"	1049	"14-DEC-2012"	"JX861506"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	9	"0"
"KP821847"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821847"	1049	"16-AUG-2015"	"KP821847"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"1FRA2008/25"	"Bluetongue virus 1"	"1FRA2008/25"	9	"0"
"KP821848"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821848"	1049	"16-AUG-2015"	"KP821848"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"1FRA2008/26"	"Bluetongue virus 1"	"1FRA2008/26"	9	"0"
