"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881988"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881988"	1981	"09-JUN-2012"	"JN881988"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	4	"VP4"
"JN848762"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848762"	1981	"05-JAN-2012"	"JN848762"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	4	"VP4"
"KP821247"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821247"	1981	"16-AUG-2015"	"KP821247"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	4	"VP4"
"KP821248"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821248"	1981	"16-AUG-2015"	"KP821248"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	4	"VP4"
"KP821249"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821249"	1981	"16-AUG-2015"	"KP821249"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	4	"VP4"
"JQ282772"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282772"	1981	"08-APR-2012"	"JQ282772"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	4	"unknown"
"KP821237"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821237"	1981	"16-AUG-2015"	"KP821237"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	4	"VP4"
"KP821238"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821238"	1981	"16-AUG-2015"	"KP821238"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	4	"VP4"
"KP821239"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821239"	1981	"16-AUG-2015"	"KP821239"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	4	"VP4"
"KP821240"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821240"	1981	"16-AUG-2015"	"KP821240"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	4	"VP4"
"JX861491"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861491"	1981	"14-DEC-2012"	"JX861491"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	4	"VP4"
"KP821241"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821241"	1981	"16-AUG-2015"	"KP821241"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	4	"VP4"
"KP821242"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821242"	1981	"16-AUG-2015"	"KP821242"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	4	"VP4"
"KP821243"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821243"	1981	"16-AUG-2015"	"KP821243"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	4	"VP4"
"JX861501"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861501"	1981	"14-DEC-2012"	"JX861501"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	4	"VP4"
"KP821244"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821244"	1981	"16-AUG-2015"	"KP821244"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	4	"VP4"
"KP821245"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821245"	1981	"16-AUG-2015"	"KP821245"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"FRA2008/26"	"Bluetongue virus 1"	"FRA2008/26"	4	"VP4"
"KP821246"	"18|sheep/Gibraltar/2007|GIB2007/06|Oct-2007"	18	"KP821246"	1981	"16-AUG-2015"	"KP821246"	"sheep"	"Gibraltar: Gibraltar"	"Oct-2007"	1	"GIB2007/06"	"Bluetongue virus 1"	"GIB2007/06"	4	"VP4"
"KP821250"	"19|sheep/Libya/2007|LIB2007/06|Aug-2007"	19	"KP821250"	1981	"16-AUG-2015"	"KP821250"	"sheep"	"Libya: Green Mountain"	"Aug-2007"	1	"LIB2007/06"	"Bluetongue virus 1"	"LIB2007/06"	4	"VP4"
"KP821251"	"20|sheep/Morocco/2006|MOR2006/06|Oct-2006"	20	"KP821251"	1981	"16-AUG-2015"	"KP821251"	"sheep"	"Morocco: Guenfouda-Oujda"	"Oct-2006"	1	"MOR2006/06"	"Bluetongue virus 1"	"MOR2006/06"	4	"VP4"
"KP821252"	"21|sheep/Morocco/2007|MOR2007/01|Jul-2007"	21	"KP821252"	1981	"16-AUG-2015"	"KP821252"	"sheep"	"Morocco: Khouribga"	"Jul-2007"	1	"MOR2007/01"	"Bluetongue virus 1"	"MOR2007/01"	4	"VP4"
"KP821253"	"22|sheep/Morocco/2007|MOR2007/02|Jul-2007"	22	"KP821253"	1981	"16-AUG-2015"	"KP821253"	"sheep"	"Morocco: Settat"	"Jul-2007"	1	"MOR2007/02"	"Bluetongue virus 1"	"MOR2007/02"	4	"VP4"
"KP821254"	"23|sheep/Morocco/2007|MOR2007/03|Jul-2007"	23	"KP821254"	1981	"16-AUG-2015"	"KP821254"	"sheep"	"Morocco: Rabat"	"Jul-2007"	1	"MOR2007/03"	"Bluetongue virus 1"	"MOR2007/03"	4	"VP4"
"KP821255"	"24|sheep/Morocco/2007|MOR2007/04|Jul-2007"	24	"KP821255"	1981	"16-AUG-2015"	"KP821255"	"sheep"	"Morocco: Kenitra"	"Jul-2007"	1	"MOR2007/04"	"Bluetongue virus 1"	"MOR2007/04"	4	"VP4"
"KP821256"	"25|sheep/Morocco/2009|MOR2009/01|Sep-2009"	25	"KP821256"	1981	"16-AUG-2015"	"KP821256"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/01"	"Bluetongue virus 1"	"MOR2009/01"	4	"VP4"
"KP821257"	"26|sheep/Morocco/2009|MOR2009/04|Sep-2009"	26	"KP821257"	1981	"16-AUG-2015"	"KP821257"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/04"	"Bluetongue virus 1"	"MOR2009/04"	4	"VP4"
"KP821258"	"27|sheep/Morocco/2009|MOR2009/06|Sep-2009"	27	"KP821258"	1981	"16-AUG-2015"	"KP821258"	"sheep"	"Morocco: Marrakesh"	"Sep-2009"	1	"MOR2009/06"	"Bluetongue virus 1"	"MOR2009/06"	4	"VP4"
"FJ969722"	"28|0/SouthAfrica/0|South Africa|0"	28	"FJ969722"	1981	"12-AUG-2009"	"FJ969722"	"0"	"South Africa"	"0"	1	"South Africa"	"Bluetongue virus"	"South Africa"	4	"VP4"
"KP821259"	"29|sheep/SouthAfrica/1958|RSAvvvv/01|Jun-1958"	29	"KP821259"	1981	"16-AUG-2015"	"KP821259"	"sheep"	"South Africa: Natal"	"Jun-1958"	1	"RSAvvvv/01"	"Bluetongue virus 1"	"RSAvvvv/01"	4	"VP4"
"KP821260"	"30|cattle/Spain/2007|SPA2007/04|Jun-2007"	30	"KP821260"	1981	"16-AUG-2015"	"KP821260"	"cattle"	"Spain: Cordoba"	"Jun-2007"	1	"SPA2007/04"	"Bluetongue virus 1"	"SPA2007/04"	4	"VP4"
"KP821261"	"31|cattle/Spain/2007|SPA2007/05|Jun-2007"	31	"KP821261"	1981	"16-AUG-2015"	"KP821261"	"cattle"	"Spain: Pias Vasco"	"Jun-2007"	1	"SPA2007/05"	"Bluetongue virus 1"	"SPA2007/05"	4	"VP4"
"KP821262"	"32|sheep/Spain/2008|SPA2008/01|Jun-2008"	32	"KP821262"	1981	"16-AUG-2015"	"KP821262"	"sheep"	"Spain: Asturias"	"Jun-2008"	1	"SPA2008/01"	"Bluetongue virus 1"	"SPA2008/01"	4	"VP4"
"KP821263"	"33|cattle/Spain/2009|SPA2009/01|Jun-2009"	33	"KP821263"	1981	"16-AUG-2015"	"KP821263"	"cattle"	"Spain: Galicia"	"Jun-2009"	1	"SPA2009/01"	"Bluetongue virus 1"	"SPA2009/01"	4	"VP4"
"KP821264"	"34|0/Sudan/1987|SUD1987/01|Apr-1987"	34	"KP821264"	1981	"16-AUG-2015"	"KP821264"	"0"	"Sudan: Sudan"	"Apr-1987"	1	"SUD1987/01"	"Bluetongue virus 1"	"SUD1987/01"	4	"VP4"
"KP821265"	"35|sheep/Tunisia/2007|TUN2007/01|Sep-2007"	35	"KP821265"	1981	"16-AUG-2015"	"KP821265"	"sheep"	"Tunisia: Tunisia"	"Sep-2007"	1	"TUN2007/01"	"Bluetongue virus 1"	"TUN2007/01"	4	"VP4"
"JQ240324"	"36|cattle/Australia/2010|Cooktown|2010"	36	"JQ240324"	1969	"06-JUN-2012"	"JQ240324"	"cattle"	"Australia: Cooktown, Queensland"	"2010"	2	"Cooktown"	"Bluetongue virus 2"	"Cooktown"	4	"VP4"
"JQ086244"	"37|cattle/Australia/2008|v7291|2008"	37	"JQ086244"	1969	"09-JUN-2012"	"JQ086244"	"cattle"	"Australia: Douglas Daly, Northern Territory"	"2008"	2	"v7291"	"Bluetongue virus 2"	"v7291"	4	"VP4"
"JQ713559"	"38|0/India/1982|IND1982/01|26-Mar-1982"	38	"JQ713559"	1981	"06-MAY-2012"	"JQ713559"	"0"	"India"	"26-Mar-1982"	2	"IND1982/01"	"Bluetongue virus 2"	"IND1982/01"	4	"VP4"
"AY493689"	"39|0/Taiwan/0|KM|0"	39	"AY493689"	1981	"01-JAN-2005"	"AY493689"	"0"	"Taiwan"	"0"	2	"KM"	"Bluetongue virus"	"KM"	0	"core protein"
"KP821266"	"40|0/France/2001|FRA2001/01|Jul-2001"	40	"KP821266"	1981	"16-AUG-2015"	"KP821266"	"0"	"France: Corsica"	"Jul-2001"	2	"FRA2001/01"	"Bluetongue virus 2"	"FRA2001/01"	4	"VP4"
"KP821267"	"41|sheep/France/2001|FRA2001/03|Sep-2001"	41	"KP821267"	1981	"16-AUG-2015"	"KP821267"	"sheep"	"France: Corsica"	"Sep-2001"	2	"FRA2001/03"	"Bluetongue virus 2"	"FRA2001/03"	4	"VP4"
"KP821268"	"42|sheep/France/2001|FRA2001/06|Sep-2001"	42	"KP821268"	1981	"16-AUG-2015"	"KP821268"	"sheep"	"France: Corsica"	"Sep-2001"	2	"FRA2001/06"	"Bluetongue virus 2"	"FRA2001/06"	4	"VP4"
