"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881990"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881990"	1635	"09-JUN-2012"	"JN881990"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	6	"VP5"
"JN848764"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848764"	1635	"05-JAN-2012"	"JN848764"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	6	"VP5"
"KP821487"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821487"	1635	"16-AUG-2015"	"KP821487"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	6	"VP5"
"KP821488"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821488"	1635	"16-AUG-2015"	"KP821488"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	6	"VP5"
"KP821489"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821489"	1635	"16-AUG-2015"	"KP821489"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	6	"VP5"
"AJ586659"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"AJ586659"	1635	"02-APR-2012"	"AJ586659"	"0"	"India"	"0"	NA	"IND1992/01"	"Bluetongue virus 1"	"IND1992/01"	6	"outer capsid protein VP5"
"KP821477"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821477"	1635	"16-AUG-2015"	"KP821477"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	6	"VP5"
"KP821478"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821478"	1635	"16-AUG-2015"	"KP821478"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	6	"VP5"
"KP821479"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821479"	1635	"16-AUG-2015"	"KP821479"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	6	"VP5"
"KP821480"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821480"	1635	"16-AUG-2015"	"KP821480"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	6	"VP5"
"JX861493"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861493"	1635	"14-DEC-2012"	"JX861493"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	6	"VP5"
"KP821481"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821481"	1635	"16-AUG-2015"	"KP821481"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	6	"VP5"
