"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881985"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881985"	3944	"09-JUN-2012"	"JN881985"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	1	"VP1"
"JN848759"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848759"	3944	"05-JAN-2012"	"JN848759"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	1	"VP1"
"KP820885"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP820885"	3944	"16-AUG-2015"	"KP820885"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	1	"VP1"
"KP820886"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP820886"	3944	"16-AUG-2015"	"KP820886"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	1	"VP1"
"KP820887"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP820887"	3944	"16-AUG-2015"	"KP820887"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	1	"VP1"
"JQ282770"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282770"	3944	"08-APR-2012"	"JQ282770"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	1	"unknown"
"KP820875"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP820875"	3944	"16-AUG-2015"	"KP820875"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	1	"VP1"
"KP820876"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP820876"	3944	"16-AUG-2015"	"KP820876"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	1	"VP1"
"KP820877"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP820877"	3944	"16-AUG-2015"	"KP820877"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	1	"VP1"
"KP820878"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP820878"	3944	"16-AUG-2015"	"KP820878"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	1	"VP1"
