"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881994"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881994"	822	"09-JUN-2012"	"JN881994"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	10	"0"
"JN848768"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848768"	822	"05-JAN-2012"	"JN848768"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	10	"0"
"KP821970"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821970"	822	"16-AUG-2015"	"KP821970"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	10	"NS3/3A"
"KP821971"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821971"	822	"16-AUG-2015"	"KP821971"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	10	"NS3/3A"
"KP821972"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821972"	822	"16-AUG-2015"	"KP821972"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	10	"NS3/3A"
"JQ282777"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282777"	822	"08-APR-2012"	"JQ282777"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	10	"unknown"
"KP821960"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821960"	822	"16-AUG-2015"	"KP821960"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	10	"NS3/3A"
"KP821961"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821961"	822	"16-AUG-2015"	"KP821961"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	10	"NS3/3A"
"KP821962"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821962"	822	"16-AUG-2015"	"KP821962"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	10	"NS3/3A"
"KP821963"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821963"	822	"16-AUG-2015"	"KP821963"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	10	"NS3/3A"
"JX861487"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861487"	822	"14-DEC-2012"	"JX861487"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	10	"NS3"
"KP821964"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821964"	822	"16-AUG-2015"	"KP821964"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	10	"NS3/3A"
"KP821965"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821965"	822	"16-AUG-2015"	"KP821965"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	10	"NS3/3A"
"KP821966"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821966"	822	"16-AUG-2015"	"KP821966"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	10	"NS3/3A"
"JX861497"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861497"	822	"14-DEC-2012"	"JX861497"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	10	"NS3"
"KP821967"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821967"	822	"16-AUG-2015"	"KP821967"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	10	"NS3/3A"
"KP821968"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821968"	822	"16-AUG-2015"	"KP821968"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"FRA2008/26"	"Bluetongue virus 1"	"FRA2008/26"	10	"NS3/3A"
"KP821969"	"18|sheep/Gibraltar/2007|GIB2007/06|Oct-2007"	18	"KP821969"	822	"16-AUG-2015"	"KP821969"	"sheep"	"Gibraltar: Gibraltar"	"Oct-2007"	1	"GIB2007/06"	"Bluetongue virus 1"	"GIB2007/06"	10	"NS3/3A"
"KP821973"	"19|sheep/Libya/2007|LIB2007/06|Aug-2007"	19	"KP821973"	822	"16-AUG-2015"	"KP821973"	"sheep"	"Libya: Green Mountain"	"Aug-2007"	1	"LIB2007/06"	"Bluetongue virus 1"	"LIB2007/06"	10	"NS3/3A"
