"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881987"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881987"	2772	"09-JUN-2012"	"JN881987"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	3	"VP3"
"JN848761"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848761"	2772	"05-JAN-2012"	"JN848761"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	3	"VP3"
"KP821127"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821127"	2772	"16-AUG-2015"	"KP821127"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	3	"VP3"
"KP821128"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821128"	2772	"16-AUG-2015"	"KP821128"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	3	"VP3"
"KP821129"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821129"	2772	"16-AUG-2015"	"KP821129"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	3	"VP3"
"JQ282771"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282771"	2772	"08-APR-2012"	"JQ282771"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	3	"unknown"
"KP821117"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821117"	2772	"16-AUG-2015"	"KP821117"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	3	"VP3"
"KP821118"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821118"	2772	"16-AUG-2015"	"KP821118"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	3	"VP3"
"KP821119"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821119"	2772	"16-AUG-2015"	"KP821119"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	3	"VP3"
"KP821120"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821120"	2772	"16-AUG-2015"	"KP821120"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	3	"VP3"
"JX861490"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861490"	2772	"14-DEC-2012"	"JX861490"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	3	"VP3"
"KP821121"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821121"	2772	"16-AUG-2015"	"KP821121"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	3	"VP3"
"KP821122"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821122"	2772	"16-AUG-2015"	"KP821122"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	3	"VP3"
"KP821123"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821123"	2772	"16-AUG-2015"	"KP821123"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	3	"VP3"
"JX861500"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861500"	2772	"14-DEC-2012"	"JX861500"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	3	"VP3"
"KP821124"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821124"	2772	"16-AUG-2015"	"KP821124"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	3	"VP3"
