"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881992"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881992"	1125	"09-JUN-2012"	"JN881992"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	8	"NS2"
"JN848766"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848766"	1125	"05-JAN-2012"	"JN848766"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	8	"NS2"
"KP821729"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821729"	1125	"16-AUG-2015"	"KP821729"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	8	"NS2"
"KP821730"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821730"	1125	"16-AUG-2015"	"KP821730"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	8	"NS2"
"KP821731"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821731"	1125	"16-AUG-2015"	"KP821731"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	8	"NS2"
"JQ282775"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282775"	1125	"08-APR-2012"	"JQ282775"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	8	"unknown"
"KP821719"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821719"	1125	"16-AUG-2015"	"KP821719"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	8	"NS2"
"KP821720"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821720"	1126	"16-AUG-2015"	"KP821720"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	8	"NS2"
"KP821721"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821721"	1125	"16-AUG-2015"	"KP821721"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	8	"NS2"
"KP821722"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821722"	1125	"16-AUG-2015"	"KP821722"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	8	"NS2"
