"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"JN881989"	"1|cattle/Australia/1979|CSIRO156|1979"	1	"JN881989"	1770	"09-JUN-2012"	"JN881989"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1979"	1	"CSIRO156"	"Bluetongue virus 1"	"CSIRO156"	5	"NS1"
"JN848763"	"2|sheep/China/1997|SZ97/1|1997"	2	"JN848763"	1772	"05-JAN-2012"	"JN848763"	"sheep"	"China"	"1997"	1	"SZ97/1"	"Bluetongue virus 1"	"SZ97/1"	5	"NS1"
"KP821367"	"3|sheep/Greece/2001|GRE2001/01|Oct-2001"	3	"KP821367"	1763	"16-AUG-2015"	"KP821367"	"sheep"	"Greece: Agiasos-Achladeri-Lesvos"	"Oct-2001"	1	"GRE2001/01"	"Bluetongue virus 1"	"GRE2001/01"	5	"NS1"
"KP821368"	"4|sheep/Greece/2001|GRE2001/06|Dec-2001"	4	"KP821368"	1763	"16-AUG-2015"	"KP821368"	"sheep"	"Greece: Smiksi-Grevena"	"Dec-2001"	1	"GRE2001/06"	"Bluetongue virus 1"	"GRE2001/06"	5	"NS1"
"KP821369"	"5|sheep/Greece/2001|GRE2001/10|Nov-2001"	5	"KP821369"	1763	"16-AUG-2015"	"KP821369"	"sheep"	"Greece: Potamia-Paramithia-Thesprotia"	"Nov-2001"	1	"GRE2001/10"	"Bluetongue virus 1"	"GRE2001/10"	5	"NS1"
"JQ282773"	"6|Ovis aries/India/1992|India A|03-Mar-1992"	6	"JQ282773"	1763	"08-APR-2012"	"JQ282773"	"Ovis aries"	"India: Avikanagar, Rajasthan"	"03-Mar-1992"	1	"IND1992/01"	"Bluetongue virus"	"IND1992/01"	5	"unknown"
"KP821357"	"7|sheep/Algeria/2006|ALG2006/01|Aug-2006"	7	"KP821357"	1774	"16-AUG-2015"	"KP821357"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/01"	"Bluetongue virus 1"	"ALG2006/01"	5	"NS1"
"KP821358"	"8|sheep/Algeria/2006|ALG2006/04|Aug-2006"	8	"KP821358"	1775	"16-AUG-2015"	"KP821358"	"sheep"	"Algeria: Berrouaghia-Media"	"Aug-2006"	1	"ALG2006/04"	"Bluetongue virus 1"	"ALG2006/04"	5	"NS1"
"KP821359"	"9|sheep/Algeria/2008|ALG2008/10|Nov-2008"	9	"KP821359"	1774	"16-AUG-2015"	"KP821359"	"sheep"	"Algeria: Laghouat-Dakhla"	"Nov-2008"	1	"ALG2008/10"	"Bluetongue virus 1"	"ALG2008/10"	5	"NS1"
"KP821360"	"10|sheep/Cameroon/1982|CAR1982/01|Oct-1982"	10	"KP821360"	1774	"16-AUG-2015"	"KP821360"	"sheep"	"Cameroon: Cameroon"	"Oct-1982"	1	"CAR1982/01"	"Bluetongue virus 1"	"CAR1982/01"	5	"NS1"
"JX861492"	"11|sheep/France/2007|FRA2007/18|Nov-2007"	11	"JX861492"	1774	"14-DEC-2012"	"JX861492"	"sheep"	"France"	"Nov-2007"	1	"FRA2007/18"	"Bluetongue virus 1"	"FRA2007/18"	5	"NS1"
"KP821361"	"12|cattle/France/2008|FRA2008/21|Jul-2008"	12	"KP821361"	1774	"16-AUG-2015"	"KP821361"	"cattle"	"France: Beyrie-en-B_arn- Pyrenees"	"Jul-2008"	1	"FRA2008/21"	"Bluetongue virus 1"	"FRA2008/21"	5	"NS1"
"KP821362"	"13|sheep/France/2008|FRA2008/22|Aug-2008"	13	"KP821362"	1774	"16-AUG-2015"	"KP821362"	"sheep"	"France: Pinderes-Lot et Garonne-Aquitaine"	"Aug-2008"	1	"FRA2008/22"	"Bluetongue virus 1"	"FRA2008/22"	5	"NS1"
"KP821363"	"14|cattle/France/2008|FRA2008/23|Sep-2008"	14	"KP821363"	1774	"16-AUG-2015"	"KP821363"	"cattle"	"France: Faurilles-Dordogne-Aquitaine"	"Sep-2008"	1	"FRA2008/23"	"Bluetongue virus 1"	"FRA2008/23"	5	"NS1"
"JX861502"	"15|cattle/France/2008|FRA2008/24|Sep-2008"	15	"JX861502"	1774	"14-DEC-2012"	"JX861502"	"cattle"	"France"	"Sep-2008"	1	"FRA2008/24"	"Bluetongue virus 1"	"FRA2008/24"	5	"NS1"
"KP821364"	"16|cattle/France/2008|FRA2008/25|Aug-2008"	16	"KP821364"	1775	"16-AUG-2015"	"KP821364"	"cattle"	"France: Pouylebon-Gascony-Midi-Pyrenees"	"Aug-2008"	1	"FRA2008/25"	"Bluetongue virus 1"	"FRA2008/25"	5	"NS1"
"KP821365"	"17|cattle/France/2008|FRA2008/26|Oct-2008"	17	"KP821365"	1774	"16-AUG-2015"	"KP821365"	"cattle"	"France: Camaret sur mer-Finistere-Brittany"	"Oct-2008"	1	"FRA2008/26"	"Bluetongue virus 1"	"FRA2008/26"	5	"NS1"
"KP821366"	"18|sheep/Gibraltar/2007|GIB2007/06|Oct-2007"	18	"KP821366"	1774	"16-AUG-2015"	"KP821366"	"sheep"	"Gibraltar: Gibraltar"	"Oct-2007"	1	"GIB2007/06"	"Bluetongue virus 1"	"GIB2007/06"	5	"NS1"
"KP821370"	"19|sheep/Libya/2007|LIB2007/06|Aug-2007"	19	"KP821370"	1774	"16-AUG-2015"	"KP821370"	"sheep"	"Libya: Green Mountain"	"Aug-2007"	1	"LIB2007/06"	"Bluetongue virus 1"	"LIB2007/06"	5	"NS1"
"KP821371"	"20|sheep/Morocco/2006|MOR2006/06|Oct-2006"	20	"KP821371"	1774	"16-AUG-2015"	"KP821371"	"sheep"	"Morocco: Guenfouda-Oujda"	"Oct-2006"	1	"MOR2006/06"	"Bluetongue virus 1"	"MOR2006/06"	5	"NS1"
"KP821372"	"21|sheep/Morocco/2007|MOR2007/01|Jul-2007"	21	"KP821372"	1774	"16-AUG-2015"	"KP821372"	"sheep"	"Morocco: Khouribga"	"Jul-2007"	1	"MOR2007/01"	"Bluetongue virus 1"	"MOR2007/01"	5	"NS1"
"KP821373"	"22|sheep/Morocco/2007|MOR2007/02|Jul-2007"	22	"KP821373"	1774	"16-AUG-2015"	"KP821373"	"sheep"	"Morocco: Settat"	"Jul-2007"	1	"MOR2007/02"	"Bluetongue virus 1"	"MOR2007/02"	5	"NS1"
"KP821374"	"23|sheep/Morocco/2007|MOR2007/03|Jul-2007"	23	"KP821374"	1774	"16-AUG-2015"	"KP821374"	"sheep"	"Morocco: Rabat"	"Jul-2007"	1	"MOR2007/03"	"Bluetongue virus 1"	"MOR2007/03"	5	"NS1"
"KP821375"	"24|sheep/Morocco/2007|MOR2007/04|Jul-2007"	24	"KP821375"	1774	"16-AUG-2015"	"KP821375"	"sheep"	"Morocco: Kenitra"	"Jul-2007"	1	"MOR2007/04"	"Bluetongue virus 1"	"MOR2007/04"	5	"NS1"
"KP821376"	"25|sheep/Morocco/2009|MOR2009/01|Sep-2009"	25	"KP821376"	1774	"16-AUG-2015"	"KP821376"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/01"	"Bluetongue virus 1"	"MOR2009/01"	5	"NS1"
"KP821377"	"26|sheep/Morocco/2009|MOR2009/04|Sep-2009"	26	"KP821377"	1774	"16-AUG-2015"	"KP821377"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/04"	"Bluetongue virus 1"	"MOR2009/04"	5	"NS1"
"KP821378"	"27|sheep/Morocco/2009|MOR2009/06|Sep-2009"	27	"KP821378"	1774	"16-AUG-2015"	"KP821378"	"sheep"	"Morocco: Marrakesh"	"Sep-2009"	1	"MOR2009/06"	"Bluetongue virus 1"	"MOR2009/06"	5	"NS1"
"FJ969724"	"28|0/SouthAfrica/0|South Africa|0"	28	"FJ969724"	1772	"12-AUG-2009"	"FJ969724"	"0"	"South Africa"	"0"	1	"South Africa"	"Bluetongue virus"	"South Africa"	6	"NS1"
"KP821379"	"29|sheep/SouthAfrica/1958|RSAvvvv/01|Jun-1958"	29	"KP821379"	1772	"16-AUG-2015"	"KP821379"	"sheep"	"South Africa: Natal"	"Jun-1958"	1	"RSAvvvv/01"	"Bluetongue virus 1"	"RSAvvvv/01"	5	"NS1"
"KP821380"	"30|cattle/Spain/2007|SPA2007/04|Jun-2007"	30	"KP821380"	1774	"16-AUG-2015"	"KP821380"	"cattle"	"Spain: Cordoba"	"Jun-2007"	1	"SPA2007/04"	"Bluetongue virus 1"	"SPA2007/04"	5	"NS1"
"KP821381"	"31|cattle/Spain/2007|SPA2007/05|Jun-2007"	31	"KP821381"	1774	"16-AUG-2015"	"KP821381"	"cattle"	"Spain: Pias Vasco"	"Jun-2007"	1	"SPA2007/05"	"Bluetongue virus 1"	"SPA2007/05"	5	"NS1"
